Council Member,Questionnaire Submission,Email Address submitted on Questionnaire,FY24 SC CODE,Older Adult Center / Program Name,Program Address,Borough,Zip Code,New Council District,City Council District ,Community District,Contact Person,Phone,Email Address sent by DFTA (Red Highlights flags error with original email),DFTA ID ,SITE TYPE,Program Type,email,director,JR,City Council District .1,Council Member.1,geoclient,lat,lon
Williams,YES,clelia.ramos@ccbq.org,FY24 SC 283,CCNS Hillcrest OAC,91-34 182nd Place,Queens,11423,,27,Queens CD12,Clelia Ramos,718 279-7171,Clelia.ramos@ccbq.org,C1707,Main Site,OAC,clelia.ramos@ccbq.org,Debbie Hofer,,27,Williams,"91-34%20182nd%20Place,%20Queens,%2011423",40.709634047917724,-73.77843061081036
Won,YES,shamde@hanac.org,FY24 SC 186,HANAC Ravenswood Older Adult Center,34-35A 12th Street,Queens,11106,,26,Queens CD1,Shahenaz Hamde,718-786-1550,shamde@hanac.org,C3903,Main Site,OAC,shamde@hanac.org,Shahenaz Hamde ,,26,Won,"34-35A%2012th%20Street,%20Queens,%2011106",NA,NA
Won,YES,gwilson@riissettlement.org,FY24 SC 207,Queensbridge Center,10-25 41st Avenue,Queens,11101,,26,Queens CD1,Gwendolyn Wilson,718-784-7447X132,gwilson@riissettlement.org,C4601,Main Site,OAC,gwilson@riissettlement.org,Gwendolyn Wilson,,26,Won,"10-25%2041st%20Avenue,%20Queens,%2011101",40.75548780831241,-73.94532756354668
Won,YES,ewalden@riissettlement.org,FY24 SC 208,QUEENSBRIDGE NNORC,10-25 41st AVENUE,Queens ,11101,,26,401,Edna Walden,718-784-7447 Ext. 154,ewalden@riissettlement.org,4N4,Discretionary-NYCHA,NORC,ewalden@riissettlement.org,Edna Walden,FY24 SC 208,26,Won,"10-25%2041st%20AVENUE,%20Queens%20,%2011101",40.75548780831241,-73.94532756354668
Won,NO,,FY24 SC 209,Riseboro Hunters Point,52-3 Center Boulevard,Queens,11101,,26,Queens CD2,Sandra Christian,718-821-0254,msuttles@riseboro.org,W2011,Main Site,OAC,,,,26,Won,"52-3%20Center%20Boulevard,%20Queens,%2011101",40.74216535082529,-73.96003326472021
Won,YES,tziongas@selfhelp.net,FY24 SC 210,SELFHELP BIG SIX NORC,61-10 QUEENS BLVD.,Queens ,11377,,26,402,Theodora Ziongas ,718-565-6569,tziongas@selfhelp.net,N62-02,DFTA-Funded,NORC,tziongas@selfhelp.net,"Theodora Ziongas, M.A.",,26,Won,"61-10%20QUEENS%20BLVD.,%20Queens%20,%2011377",40.74134662810257,-73.90322573811837
Won,YES,kserrano@scsny.org,FY24 SC 211,Sunnyside Community Services OAC,43-39 39th Street,Queens,11104,,26,Queens CD2,Kerly Serrano,"929-335-7915 |
718-784-6173, ext. 415",Kserrano@scsny.org,C7901,Main Site,OAC,kserrano@scsny.org,Kerly Serrano,,26,Won,"43-39%2039th%20Street,%20Queens,%2011104",40.745099072945465,-73.92592745519255
Won,YES,tonya.chestnut@samaritanvillage.org ,FY24 SC 212,Woodside Older Adult Center,50-37 Newton Road,Queens,11377,,26,Queens CD1,Tonya  Chestnut,718-932-6916 ext 1722,tonya.chestnut@samaritanvillage.org,C6401,Main Site,OAC,tonya.chestnut@samaritanvillage.org ,Tonya Chestnut,,26,Won,"50-37%20Newton%20Road,%20Queens,%2011377",40.736287203745185,-73.94309888287565
Yeger,NO,,FY24 SC 293,Agudath Israel of America Boro Park Senior Citizens Center,5602 11th Avenue,Brooklyn,11219,,44,Brooklyn CD12 ,Miri Singer,718-854-7430,director@bpscc.org,C0103,Main Site,OAC,,,,44,Yeger,"5602%2011th%20Avenue,%20Brooklyn,%2011219",40.63367975524505,-74.00070255924798
Yeger,YES,drjoanpastore@gmail.com,FY24 SC 323,AMICO 59th St Senior Citizen Ctr,5901 13th Avenue,Brooklyn,11219,,44,Brooklyn CD12 ,Joan Pastore,718-972-1558,pastarj@aol.com,C0401,Main Site,OAC,drjoanpastore@gmail.com,Joan Pastore,,44,Yeger,"5901%2013th%20Avenue,%20Brooklyn,%2011219",40.629331995410794,-73.99802215435837
Yeger,YES,Changyu1314@gmail.com,FY24 SC 324,BCA Dyker Heights Older Adult Center,7201 8th Avenue,Brooklyn,11228,,44,Brooklyn CD10,Chang Yu,718 622-3333,changyu1314@gmail.com,C1202,Main Site,OAC,Changyu1314@gmail.com,Chang Yu,,44,Yeger,"7201%208th%20Avenue,%20Brooklyn,%2011228",40.62858970362652,-74.01671963494562
Yeger,NO,,FY24 SC 325,Bensonhurst Senior Center,7802 Bay Parkway,Brooklyn,11214,,44,Brooklyn CD11,Rachel Libus,718 331-6800,rachel@jchb.org,C3201,Main Site,OAC,,,,44,Yeger,"7802%20Bay%20Parkway,%20Brooklyn,%2011214",40.606368574906256,-73.98923543310757
Yeger,YES,jliffbpy@aol.com,FY24 SC 326,Boro Park Y OAC,4912 14th Avenue,Brooklyn,11219,,44,Brooklyn CD12 ,Judy Liff,718-435-3804,jliffbpy@aol.com,C9601,Main Site,OAC,jliffbpy@aol.com,Judy Liff,FY24 SC 326,44,Yeger,"4912%2014th%20Avenue,%20Brooklyn,%2011219",40.6335695362025,-73.9900597037541
Yeger,YES,r.d.riola@verizon.net,FY24 SC 327,Council Ctr for Senior Citizens,1001 Quentin road,Brooklyn,11223,,44,Brooklyn CD15 ,Rosemarie Riola,718-627-7680,r.d.riola@verizon.net,C1301,Main Site,OAC,r.d.riola@verizon.net,ROSEMARIE RIOLA,,44,Yeger,"1001%20Quentin%20road,%20Brooklyn,%2011223",40.6077546774357,-73.96282203605081
Yeger,NO,,FY24 SC 328,Council of Peoples Organization: Satellite,1814 Coney Island Avenue,Brooklyn,11230,,44, ,Hasa Raza            ,718-434-3266 x 1013,hraza@copo.org,C2702,Affiliated,OAC,,,,44,Yeger,"1814%20Coney%20Island%20Avenue,%20Brooklyn,%2011230",40.61336784788076,-73.96302421090444
Yeger,NO,,FY24 SC 329,GOOD NEIGHBORS NNORC,7802 BAY PARKWAY,Brooklyn,11214,,44,311,Inna Lukyanenko or Michael Rockman,718-943-6380 or 718-331-6800 ext. 174,innaluk@jchb.org; mrockman@jchb.org,2AS,Discretionary,NORC,,,,44,Yeger,"7802%20BAY%20PARKWAY,%20Brooklyn,%2011214",40.606368574906256,-73.98923543310757
Yeger,NO,,FY24 SC 355,JCCGCI Marien-Heim Older Adult Center,870 Ocean Parkway,Brooklyn,11230,,44,Brooklyn CD12 ,Larisa Pardilova,718-438-7771,lpardilova@gmail.com,C4705,Main Site,OAC,,,,44,Yeger,"870%20Ocean%20Parkway,%20Brooklyn,%2011230",40.62721762634806,-73.97105736106711
Yeger,NO,,FY24 SC 331,SBH Older Adult Center - Senior Pavilion,1963 McDonald Avenue,Brooklyn,11223,,44,Brooklyn CD11,Katerine Beliliovskoya ,718-787-1100,katerina@sbhonline.org,C6601,Main Site,OAC,,,,44,Yeger,"1963%20McDonald%20Avenue,%20Brooklyn,%2011223",40.60483139110503,-73.9722627010808
Yeger,NO,,FY24 SC 332,SEPHARDIC BIKUR HOLIM COMMUNITY SERVICE NETWORK NNORC,425 KINGS HIGHWAY,Brooklyn,11223,,44,311,Victoria Sutton,718-787-1100,vsutton@sbhonline.org,2N7,Discretionary,NORC,,,,44,Yeger,"425%20KINGS%20HIGHWAY,%20Brooklyn,%2011223",40.60443112635042,-73.97430839993523
Yeger,NO,,FY24 SC 333,Sephardic MSSCC House of Jacob Senior Center,6222 23rd Avenue,Brooklyn,11204,,44,Brooklyn CD11,Ana Pirs,718-259-0100,houseofjacobsc@gmail.com,C6802,Main Site,OAC,,,,44,Yeger,"6222%2023rd%20Avenue,%20Brooklyn,%2011204",40.61404957585504,-73.97759675115758
Yeger,YES,SEPHARDICSC@AOL.COM,FY24 SC 334,Sephardic Multi Services Senior Citizens Center Inc,485 Kings Highway,Brooklyn,11223,,44,Brooklyn CD15 ,Maria Nigido,718-336-1300,sephardicsc@aol.com,C6801,Main Site,OAC,SEPHARDICSC@AOL.COM,MARIA NIGIDO,,44,Yeger,"485%20Kings%20Highway,%20Brooklyn,%2011223",40.60425758024685,-73.97165432308734
